Ncache,Chunck,NN,Time,Error,Prob
100,70,2962,197.942,0.0046137406,1
200,70,2962,186.818,0.0046137406,1
300,70,2962,182.792,0.0046137406,1
400,70,2962,185.432,0.0046137406,1
500,70,2962,197.492,0.0046137406,1
600,70,2962,195.604,0.0046137406,1
700,70,2962,178.581,0.0046137406,1
800,70,2962,194.225,0.0046137406,1
900,70,2962,177.091,0.0046137406,1
1000,70,2962,170.411,0.0046137406,1
1100,70,2962,195.089,0.0046137406,1
1200,70,2962,173.282,0.0046137406,1
1300,70,2962,169.232,0.0046137406,1
1400,70,2962,168.583,0.0046137406,1
1500,70,2962,167.265,0.0046137406,1
1600,70,2962,164.941,0.0046137406,1
1700,70,2962,182.681,0.0046137406,1
1800,70,2962,173.557,0.0046137406,1
1900,70,2962,187.024,0.0046137406,1
2000,70,2962,164.558,0.0046137406,1
2100,70,2962,172.737,0.0046137406,1
2200,70,2962,164.394,0.0046137406,1
2300,70,2962,165.828,0.0046137406,1
2400,70,2962,167.314,0.0046137406,1
2500,70,2962,167.155,0.0046137406,1
2600,70,2962,163.971,0.0046137406,1
2700,70,2962,164.904,0.0046137406,1
2800,70,2962,166.429,0.0046137406,1
2900,70,2962,167.275,0.0046137406,1
3000,70,2962,165.878,0.0046137406,1
3100,70,2962,166.728,0.0046137406,1
3200,70,2962,172.165,0.0046137406,1
3300,70,2962,163.826,0.0046137406,1
3400,70,2962,184.765,0.0046137406,1
3500,70,2962,165.174,0.0046137406,1
3600,70,2962,164.98,0.0046137406,1
3700,70,2962,167.327,0.0046137406,1
3800,70,2962,168.765,0.0046137406,1
3900,70,2962,164.577,0.0046137406,1
4000,70,2962,167.225,0.0046137406,1
4100,70,2962,177.277,0.0046137406,1
4200,70,2962,171.384,0.0046137406,1
4300,70,2962,168.544,0.0046137406,1
4400,70,2962,167.872,0.0046137406,1
4500,70,2962,174.216,0.0046137406,1
4600,70,2962,166.904,0.0046137406,1
4700,70,2962,167.391,0.0046137406,1
4800,70,2962,165.764,0.0046137406,1
4900,70,2962,168.232,0.0046137406,1
5000,70,2962,165.535,0.0046137406,1
5100,70,2962,170.995,0.0046137406,1
5200,70,2962,168.423,0.0046137406,1
5300,70,2962,166.132,0.0046137406,1
5400,70,2962,261.592,0.0046137406,1
5500,70,2962,182.761,0.0046137406,1
5600,70,2962,192.172,0.0046137406,1
5700,70,2962,174.853,0.0046137406,1
5800,70,2962,166.163,0.0046137406,1
5900,70,2962,166.834,0.0046137406,1
6000,70,2962,184.587,0.0046137406,1
6100,70,2962,181.518,0.0046137406,1
6200,70,2962,167.837,0.0046137406,1
6300,70,2962,166.013,0.0046137406,1
6400,70,2962,169.196,0.0046137406,1
6500,70,2962,163.638,0.0046137406,1
6600,70,2962,167.479,0.0046137406,1
6700,70,2962,175.432,0.0046137406,1
6800,70,2962,165.84,0.0046137406,1
6900,70,2962,181.287,0.0046137406,1
7000,70,2962,168.518,0.0046137406,1
7100,70,2962,262.118,0.0046137406,1
7200,70,2962,167.25,0.0046137406,1
7300,70,2962,169.181,0.0046137406,1
7400,70,2962,177.202,0.0046137406,1
7500,70,2962,168.804,0.0046137406,1
7600,70,2962,168.296,0.0046137406,1
7700,70,2962,168.284,0.0046137406,1
7800,70,2962,169.514,0.0046137406,1
7900,70,2962,165.659,0.0046137406,1
8000,70,2962,169.503,0.0046137406,1
8100,70,2962,168.464,0.0046137406,1
8200,70,2962,169.595,0.0046137406,1
8300,70,2962,165.957,0.0046137406,1
