Ncache,Chunck,NN,Time,Error,Prob
100,50,2962,2701.43,0.0046137439,1
200,50,2962,1856.66,0.0046137439,1
300,50,2962,1615.49,0.0046137439,1
400,50,2962,1422.52,0.0046137439,1
500,50,2962,1359.42,0.0046137439,1
600,50,2962,1280.67,0.0046137439,1
700,50,2962,1322.18,0.0046137439,1
800,50,2962,1147.67,0.0046137439,1
900,50,2962,1736.55,0.0046137439,1
1000,50,2962,1103.04,0.0046137439,1
1100,50,2962,1182.31,0.0046137439,1
1200,50,2962,1178.15,0.0046137439,1
1300,50,2962,1269.22,0.0046137439,1
1400,50,2962,1150.57,0.0046137439,1
1500,50,2962,1215.34,0.0046137439,1
1600,50,2962,1449.36,0.0046137439,1
1700,50,2962,1574.65,0.0046137439,1
1800,50,2962,1597.79,0.0046137439,1
1900,50,2962,1352.1,0.0046137439,1
2000,50,2962,1355.11,0.0046137439,1
2100,50,2962,1385.8,0.0046137439,1
2200,50,2962,1362.85,0.0046137439,1
2300,50,2962,1104.72,0.0046137439,1
2400,50,2962,1101.33,0.0046137439,1
2500,50,2962,1323.78,0.0046137439,1
2600,50,2962,1521.37,0.0046137439,1
2700,50,2962,1107.86,0.0046137439,1
2800,50,2962,1879.27,0.0046137439,1
2900,50,2962,2073.98,0.0046137439,1
3000,50,2962,2073.28,0.0046137439,1
3100,50,2962,2487.82,0.0046137439,1
3200,50,2962,2695.4,0.0046137439,1
3300,50,2962,2456.78,0.0046137439,1
3400,50,2962,2874.88,0.0046137439,1
3500,50,2962,2466.47,0.0046137439,1
3600,50,2962,2427.03,0.0046137439,1
3700,50,2962,2397.78,0.0046137439,1
3800,50,2962,2832.35,0.0046137439,1
3900,50,2962,2557.28,0.0046137439,1
4000,50,2962,2523.9,0.0046137439,1
4100,50,2962,2385.56,0.0046137439,1
4200,50,2962,1998.6,0.0046137439,1
4300,50,2962,2379.59,0.0046137439,1
4400,50,2962,2356.39,0.0046137439,1
4500,50,2962,2371.26,0.0046137439,1
4600,50,2962,2170.16,0.0046137439,1
4700,50,2962,2103.64,0.0046137439,1
4800,50,2962,2079.25,0.0046137439,1
4900,50,2962,2548.15,0.0046137439,1
5000,50,2962,2108.44,0.0046137439,1
5100,50,2962,2301.82,0.0046137439,1
5200,50,2962,1794.26,0.0046137439,1
5300,50,2962,2142.22,0.0046137439,1
5400,50,2962,2005.66,0.0046137439,1
5500,50,2962,1993.77,0.0046137439,1
5600,50,2962,2213.65,0.0046137439,1
5700,50,2962,2138.24,0.0046137439,1
5800,50,2962,2043.54,0.0046137439,1
5900,50,2962,1859.89,0.0046137439,1
6000,50,2962,1804.16,0.0046137439,1
6100,50,2962,1755.06,0.0046137439,1
6200,50,2962,1675.21,0.0046137439,1
6300,50,2962,1764.77,0.0046137439,1
6400,50,2962,1991.71,0.0046137439,1
6500,50,2962,1889.12,0.0046137439,1
6600,50,2962,1540.4,0.0046137439,1
6700,50,2962,1607.44,0.0046137439,1
6800,50,2962,2006.13,0.0046137439,1
6900,50,2962,1942.02,0.0046137439,1
7000,50,2962,2038.88,0.0046137439,1
7100,50,2962,1727.85,0.0046137439,1
7200,50,2962,1635.51,0.0046137439,1
7300,50,2962,1958.15,0.0046137439,1
7400,50,2962,1851.22,0.0046137439,1
7500,50,2962,2122.97,0.0046137439,1
7600,50,2962,1156.07,0.0046137439,1
7700,50,2962,1649,0.0046137439,1
7800,50,2962,1714.65,0.0046137439,1
7900,50,2962,1461.42,0.0046137439,1
8000,50,2962,2004.38,0.0046137439,1
8100,50,2962,1632.86,0.0046137439,1
8200,50,2962,1591.94,0.0046137439,1
8300,50,2962,1466.96,0.0046137439,1
8400,50,2962,1545.95,0.0046137439,1
8500,50,2962,1334.73,0.0046137439,1
8600,50,2962,1358.91,0.0046137439,1
8700,50,2962,1501.9,0.0046137439,1
8800,50,2962,1455.93,0.0046137439,1
8900,50,2962,1508.39,0.0046137439,1
9000,50,2962,1596.89,0.0046137439,1
9100,50,2962,1575.23,0.0046137439,1
9200,50,2962,1512.96,0.0046137439,1
9300,50,2962,1487.53,0.0046137439,1
9400,50,2962,1301.53,0.0046137439,1
9500,50,2962,1283.6,0.0046137439,1
9600,50,2962,1521.25,0.0046137439,1
9700,50,2962,1530.62,0.0046137439,1
9800,50,2962,1614.19,0.0046137439,1
9900,50,2962,1125.51,0.0046137439,1
10000,50,2962,1303.35,0.0046137439,1
10100,50,2962,361.258,0.0046137439,1
10200,50,2962,363.569,0.0046137439,1
10300,50,2962,373.874,0.0046137439,1
10400,50,2962,368.003,0.0046137439,1
10500,50,2962,362.881,0.0046137439,1
10600,50,2962,374.254,0.0046137439,1
10700,50,2962,373.436,0.0046137439,1
10800,50,2962,334.395,0.0046137439,1
10900,50,2962,363.504,0.0046137439,1
11000,50,2962,379.137,0.0046137439,1
11100,50,2962,369.854,0.0046137439,1
11200,50,2962,374.737,0.0046137439,1
11300,50,2962,359.95,0.0046137439,1
11400,50,2962,363.846,0.0046137439,1
11500,50,2962,373.65,0.0046137439,1
11600,50,2962,366.307,0.0046137439,1
11700,50,2962,373.471,0.0046137439,1
11800,50,2962,355.143,0.0046137439,1
11900,50,2962,355.952,0.0046137439,1
12000,50,2962,364.843,0.0046137439,1
12100,50,2962,362.013,0.0046137439,1
12200,50,2962,369.764,0.0046137439,1
12300,50,2962,376.278,0.0046137439,1
12400,50,2962,371.669,0.0046137439,1
12500,50,2962,368.945,0.0046137439,1
12600,50,2962,367.964,0.0046137439,1
12700,50,2962,370.167,0.0046137439,1
12800,50,2962,360.273,0.0046137439,1
12900,50,2962,372.215,0.0046137439,1
13000,50,2962,367.939,0.0046137439,1
13100,50,2962,365.851,0.0046137439,1
13200,50,2962,367.37,0.0046137439,1
13300,50,2962,365.723,0.0046137439,1
13400,50,2962,379.001,0.0046137439,1
13500,50,2962,363.947,0.0046137439,1
13600,50,2962,362.507,0.0046137439,1
13700,50,2962,375.077,0.0046137439,1
13800,50,2962,356.173,0.0046137439,1
13900,50,2962,370.171,0.0046137439,1
14000,50,2962,364.379,0.0046137439,1
14100,50,2962,376.987,0.0046137439,1
14200,50,2962,362.577,0.0046137439,1
14300,50,2962,359.109,0.0046137439,1
14400,50,2962,361.009,0.0046137439,1
14500,50,2962,363.588,0.0046137439,1
14600,50,2962,362.672,0.0046137439,1
14700,50,2962,365.54,0.0046137439,1
14800,50,2962,368.718,0.0046137439,1
14900,50,2962,357.299,0.0046137439,1
15000,50,2962,357.034,0.0046137439,1
15100,50,2962,364.617,0.0046137439,1
