Nvec,Chunck,NN,Time,Error,Prob
8,30,2962,167.107,0.0046137406,1
16,30,2962,168.47,0.0046137406,1
24,30,2962,168.339,0.0046137406,1
32,30,2962,170.784,0.0046137406,1
40,30,2962,178.107,0.0046137406,1
48,30,2962,184.174,0.0046137406,1
56,30,2962,171.547,0.0046137406,1
64,30,2962,187.225,0.0046137406,1
72,30,2962,245.899,0.0046137406,1
80,30,2962,193.45,0.0046137406,1
88,30,2962,179.051,0.0046137406,1
96,30,2962,181.538,0.0046137406,1
104,30,2962,186.858,0.0046137406,1
112,30,2962,197.363,0.0046137406,1
120,30,2962,211.55,0.0046137406,1
128,30,2962,220.481,0.0046137406,1
136,30,2962,195.612,0.0046137406,1
144,30,2962,168.641,0.0046137406,1
152,30,2962,180.624,0.0046137406,1
160,30,2962,187.098,0.0046137406,1
168,30,2962,196.115,0.0046137406,1
176,30,2962,206.064,0.0046137406,1
184,30,2962,211.417,0.0046137406,1
192,30,2962,220.062,0.0046137406,1
200,30,2962,234.99,0.0046137406,1
208,30,2962,242.363,0.0046137406,1
216,30,2962,252.213,0.0046137406,1
224,30,2962,255.836,0.0046137406,1
232,30,2962,264.901,0.0046137406,1
240,30,2962,273.847,0.0046137406,1
248,30,2962,287.456,0.0046137406,1
256,30,2962,292.568,0.0046137406,1
264,30,2962,242.241,0.0046137406,1
272,30,2962,232.09,0.0046137406,1
280,30,2962,165.323,0.0046137406,1
288,30,2962,168.79,0.0046137406,1
296,30,2962,173.327,0.0046137406,1
304,30,2962,181.29,0.0046137406,1
312,30,2962,183.175,0.0046137406,1
320,30,2962,187.747,0.0046137406,1
328,30,2962,191.196,0.0046137406,1
336,30,2962,211.793,0.0046137406,1
344,30,2962,201.346,0.0046137406,1
352,30,2962,273.323,0.0046137406,1
360,30,2962,206.804,0.0046137406,1
368,30,2962,214.886,0.0046137406,1
376,30,2962,218.385,0.0046137406,1
384,30,2962,223.399,0.0046137406,1
392,30,2962,227.427,0.0046137406,1
400,30,2962,231.131,0.0046137406,1
408,30,2962,239.351,0.0046137406,1
416,30,2962,362.622,0.0046137406,1
424,30,2962,247.621,0.0046137406,1
432,30,2962,251,0.0046137406,1
440,30,2962,261.924,0.0046137406,1
448,30,2962,259.177,0.0046137406,1
456,30,2962,260.587,0.0046137406,1
464,30,2962,269.029,0.0046137406,1
472,30,2962,273.287,0.0046137406,1
480,30,2962,274.536,0.0046137406,1
488,30,2962,289.399,0.0046137406,1
496,30,2962,288.268,0.0046137406,1
504,30,2962,292.858,0.0046137406,1
512,30,2962,298.955,0.0046137406,1
520,30,2962,299.435,0.0046137406,1
528,30,2962,321.226,0.0046137406,1
536,30,2962,314.668,0.0046137406,1
544,30,2962,314.303,0.0046137406,1
552,30,2962,317.651,0.0046137406,1
560,30,2962,320.703,0.0046137406,1
568,30,2962,325.039,0.0046137406,1
576,30,2962,342.868,0.0046137406,1
584,30,2962,456.813,0.0046137406,1
592,30,2962,343.069,0.0046137406,1
600,30,2962,343.061,0.0046137406,1
608,30,2962,348.547,0.0046137406,1
616,30,2962,352.746,0.0046137406,1
624,30,2962,358.53,0.0046137406,1
632,30,2962,362.041,0.0046137406,1
640,30,2962,368.564,0.0046137406,1
648,30,2962,369.857,0.0046137406,1
656,30,2962,375.003,0.0046137406,1
664,30,2962,379.427,0.0046137406,1
672,30,2962,386.215,0.0046137406,1
680,30,2962,389.258,0.0046137406,1
688,30,2962,393.839,0.0046137406,1
696,30,2962,400.056,0.0046137406,1
704,30,2962,404.238,0.0046137406,1
712,30,2962,407.767,0.0046137406,1
720,30,2962,412.974,0.0046137406,1
728,30,2962,417.709,0.0046137406,1
736,30,2962,425.557,0.0046137406,1
744,30,2962,425.079,0.0046137406,1
752,30,2962,431.086,0.0046137406,1
760,30,2962,438.095,0.0046137406,1
768,30,2962,442.906,0.0046137406,1
776,30,2962,443.437,0.0046137406,1
784,30,2962,448.417,0.0046137406,1
792,30,2962,451.503,0.0046137406,1
800,30,2962,456.629,0.0046137406,1
808,30,2962,464.799,0.0046137406,1
816,30,2962,551.803,0.0046137406,1
824,30,2962,474.378,0.0046137406,1
832,30,2962,477.282,0.0046137406,1
840,30,2962,480.118,0.0046137406,1
848,30,2962,488.063,0.0046137406,1
856,30,2962,486.476,0.0046137406,1
864,30,2962,507.601,0.0046137406,1
872,30,2962,502.655,0.0046137406,1
880,30,2962,503.271,0.0046137406,1
888,30,2962,505.348,0.0046137406,1
896,30,2962,508.786,0.0046137406,1
904,30,2962,516.993,0.0046137406,1
912,30,2962,520.359,0.0046137406,1
920,30,2962,524.516,0.0046137406,1
928,30,2962,717.849,0.0046137406,1
936,30,2962,534.9,0.0046137406,1
944,30,2962,539.933,0.0046137406,1
952,30,2962,547.881,0.0046137406,1
960,30,2962,550.212,0.0046137406,1
968,30,2962,551.781,0.0046137406,1
976,30,2962,556.999,0.0046137406,1
984,30,2962,562.073,0.0046137406,1
992,30,2962,568.425,0.0046137406,1
1000,30,2962,571.088,0.0046137406,1
1008,30,2962,574.656,0.0046137406,1
1016,30,2962,580.705,0.0046137406,1
1024,30,2962,587.229,0.0046137406,1
1032,30,2962,592.19,0.0046137406,1
1040,30,2962,594.137,0.0046137406,1
1048,30,2962,599.586,0.0046137406,1
1056,30,2962,601.409,0.0046137406,1
1064,30,2962,606.452,0.0046137406,1
1072,30,2962,611.283,0.0046137406,1
1080,30,2962,620.668,0.0046137406,1
1088,30,2962,623.4,0.0046137406,1
1096,30,2962,847.643,0.0046137406,1
1104,30,2962,628.211,0.0046137406,1
1112,30,2962,635.849,0.0046137406,1
1120,30,2962,860.932,0.0046137406,1
1128,30,2962,643.181,0.0046137406,1
1136,30,2962,647.835,0.0046137406,1
1144,30,2962,655.031,0.0046137406,1
1152,30,2962,657.351,0.0046137406,1
1160,30,2962,660.73,0.0046137406,1
1168,30,2962,665.998,0.0046137406,1
1176,30,2962,670.175,0.0046137406,1
1184,30,2962,676.526,0.0046137406,1
1192,30,2962,678.687,0.0046137406,1
1200,30,2962,684.756,0.0046137406,1
1208,30,2962,690.067,0.0046137406,1
1216,30,2962,694.438,0.0046137406,1
1224,30,2962,695.813,0.0046137406,1
1232,30,2962,702.829,0.0046137406,1
1240,30,2962,705.957,0.0046137406,1
1248,30,2962,713.262,0.0046137406,1
1256,30,2962,714.796,0.0046137406,1
1264,30,2962,724.681,0.0046137406,1
1272,30,2962,724.054,0.0046137406,1
1280,30,2962,730.089,0.0046137406,1
1288,30,2962,735.967,0.0046137406,1
1296,30,2962,738.057,0.0046137406,1
1304,30,2962,746.097,0.0046137406,1
1312,30,2962,747.552,0.0046137406,1
1320,30,2962,754.26,0.0046137406,1
1328,30,2962,762.335,0.0046137406,1
1336,30,2962,763.453,0.0046137406,1
1344,30,2962,765.169,0.0046137406,1
1352,30,2962,973.801,0.0046137406,1
1360,30,2962,775.078,0.0046137406,1
1368,30,2962,781.234,0.0046137406,1
1376,30,2962,787.279,0.0046137406,1
1384,30,2962,792.3,0.0046137406,1
1392,30,2962,801.523,0.0046137406,1
1400,30,2962,800.316,0.0046137406,1
1408,30,2962,801.436,0.0046137406,1
1416,30,2962,813.29,0.0046137406,1
1424,30,2962,813.387,0.0046137406,1
1432,30,2962,817.206,0.0046137406,1
1440,30,2962,822.542,0.0046137406,1
1448,30,2962,1037.73,0.0046137406,1
1456,30,2962,834.106,0.0046137406,1
1464,30,2962,834.297,0.0046137406,1
1472,30,2962,839.34,0.0046137406,1
1480,30,2962,841.892,0.0046137406,1
1488,30,2962,846.888,0.0046137406,1
1496,30,2962,851.817,0.0046137406,1
1504,30,2962,859.455,0.0046137406,1
1512,30,2962,864.209,0.0046137406,1
1520,30,2962,867.426,0.0046137406,1
1528,30,2962,884.615,0.0046137406,1
1536,30,2962,874.028,0.0046137406,1
1544,30,2962,887.028,0.0046137406,1
1552,30,2962,887.996,0.0046137406,1
1560,30,2962,888.483,0.0046137406,1
1568,30,2962,897.217,0.0046137406,1
1576,30,2962,902.469,0.0046137406,1
1584,30,2962,902.083,0.0046137406,1
1592,30,2962,908.809,0.0046137406,1
1600,30,2962,914.25,0.0046137406,1
1608,30,2962,918.056,0.0046137406,1
1616,30,2962,921.921,0.0046137406,1
1624,30,2962,925.795,0.0046137406,1
1632,30,2962,933.831,0.0046137406,1
1640,30,2962,940.069,0.0046137406,1
1648,30,2962,940.799,0.0046137406,1
1656,30,2962,947.525,0.0046137406,1
1664,30,2962,951.899,0.0046137406,1
1672,30,2962,955.179,0.0046137406,1
1680,30,2962,958.846,0.0046137406,1
1688,30,2962,959.538,0.0046137406,1
1696,30,2962,1139.94,0.0046137406,1
1704,30,2962,974.006,0.0046137406,1
1712,30,2962,977.352,0.0046137406,1
1720,30,2962,980.033,0.0046137406,1
1728,30,2962,987.726,0.0046137406,1
1736,30,2962,1129.62,0.0046137406,1
1744,30,2962,994.063,0.0046137406,1
1752,30,2962,999.939,0.0046137406,1
1760,30,2962,1008.83,0.0046137406,1
1768,30,2962,1011.96,0.0046137406,1
1776,30,2962,1012.19,0.0046137406,1
1784,30,2962,1015.99,0.0046137406,1
1792,30,2962,1019.76,0.0046137406,1
1800,30,2962,1025.93,0.0046137406,1
1808,30,2962,1030.93,0.0046137406,1
1816,30,2962,1034.21,0.0046137406,1
1824,30,2962,1039.76,0.0046137406,1
1832,30,2962,1042.14,0.0046137406,1
1840,30,2962,1051.75,0.0046137406,1
1848,30,2962,1053.65,0.0046137406,1
1856,30,2962,1062.87,0.0046137406,1
1864,30,2962,1338.49,0.0046137406,1
1872,30,2962,1072.58,0.0046137406,1
1880,30,2962,1072.48,0.0046137406,1
1888,30,2962,1082.08,0.0046137406,1
1896,30,2962,1081.43,0.0046137406,1
1904,30,2962,1089.51,0.0046137406,1
1912,30,2962,1093.64,0.0046137406,1
1920,30,2962,1096.74,0.0046137406,1
1928,30,2962,1100.08,0.0046137406,1
1936,30,2962,1102.67,0.0046137406,1
1944,30,2962,1114.97,0.0046137406,1
1952,30,2962,1112.87,0.0046137406,1
1960,30,2962,1128.73,0.0046137406,1
1968,30,2962,1126.6,0.0046137406,1
1976,30,2962,1128.52,0.0046137406,1
1984,30,2962,1131.38,0.0046137406,1
1992,30,2962,1135.69,0.0046137406,1
2000,30,2962,1140.33,0.0046137406,1
2008,30,2962,1144.34,0.0046137406,1
2016,30,2962,1151.97,0.0046137406,1
2024,30,2962,1154.02,0.0046137406,1
2032,30,2962,1158.04,0.0046137406,1
2040,30,2962,1174.76,0.0046137406,1
2048,30,2962,1166.83,0.0046137406,1
2056,30,2962,1177.36,0.0046137406,1
2064,30,2962,1179.39,0.0046137406,1
2072,30,2962,1184.96,0.0046137406,1
2080,30,2962,1188.74,0.0046137406,1
2088,30,2962,1192.81,0.0046137406,1
2096,30,2962,1195.92,0.0046137406,1
2104,30,2962,1202.09,0.0046137406,1
2112,30,2962,1204.58,0.0046137406,1
2120,30,2962,1212.56,0.0046137406,1
2128,30,2962,1214.56,0.0046137406,1
2136,30,2962,1219.01,0.0046137406,1
2144,30,2962,1225.13,0.0046137406,1
