Nvec,Chunck,NN,Time,Error,Prob
8,30,2962,1272.05,0.0046137439,1
16,30,2962,1179.45,0.0046137439,1
24,30,2962,1203.11,0.0046137439,1
32,30,2962,1190.72,0.0046137439,1
40,30,2962,1132.16,0.0046137439,1
48,30,2962,1026.66,0.0046137439,1
56,30,2962,1409.28,0.0046137439,1
64,30,2962,1425.95,0.0046137439,1
72,30,2962,1104.5,0.0046137439,1
80,30,2962,997.726,0.0046137439,1
88,30,2962,1116.66,0.0046137439,1
96,30,2962,1183.78,0.0046137439,1
104,30,2962,1329.74,0.0046137439,1
112,30,2962,1044.76,0.0046137439,1
120,30,2962,1174.81,0.0046137439,1
128,30,2962,1082.59,0.0046137439,1
136,30,2962,1253.29,0.0046137439,1
144,30,2962,1159.56,0.0046137439,1
152,30,2962,1021.93,0.0046137439,1
160,30,2962,1247.86,0.0046137439,1
168,30,2962,1157.38,0.0046137439,1
176,30,2962,1313.02,0.0046137439,1
184,30,2962,1279.96,0.0046137439,1
192,30,2962,1102.51,0.0046137439,1
200,30,2962,1215.42,0.0046137439,1
208,30,2962,1198.03,0.0046137439,1
216,30,2962,1146.91,0.0046137439,1
224,30,2962,1373.51,0.0046137439,1
232,30,2962,1336.07,0.0046137439,1
240,30,2962,1056.5,0.0046137439,1
248,30,2962,1278.76,0.0046137439,1
256,30,2962,1283.47,0.0046137439,1
264,30,2962,1357.86,0.0046137439,1
272,30,2962,1449.45,0.0046137439,1
280,30,2962,1247.15,0.0046137439,1
288,30,2962,1409.58,0.0046137439,1
296,30,2962,1223.91,0.0046137439,1
304,30,2962,1394.72,0.0046137439,1
312,30,2962,1508.17,0.0046137439,1
320,30,2962,1233.57,0.0046137439,1
328,30,2962,1337.64,0.0046137439,1
336,30,2962,1385.87,0.0046137439,1
344,30,2962,1325.33,0.0046137439,1
352,30,2962,1427.51,0.0046137439,1
360,30,2962,1350.12,0.0046137439,1
368,30,2962,1477.22,0.0046137439,1
376,30,2962,1437.68,0.0046137439,1
384,30,2962,1424.63,0.0046137439,1
392,30,2962,1589.22,0.0046137439,1
400,30,2962,1421.35,0.0046137439,1
408,30,2962,1520.44,0.0046137439,1
416,30,2962,1404.19,0.0046137439,1
424,30,2962,1535.47,0.0046137439,1
432,30,2962,1576.89,0.0046137439,1
440,30,2962,1330.35,0.0046137439,1
448,30,2962,1388.29,0.0046137439,1
456,30,2962,1700.79,0.0046137439,1
464,30,2962,1469.66,0.0046137439,1
472,30,2962,1441.05,0.0046137439,1
480,30,2962,1408.86,0.0046137439,1
488,30,2962,1444.69,0.0046137439,1
496,30,2962,1595,0.0046137439,1
504,30,2962,1601.3,0.0046137439,1
512,30,2962,1465.88,0.0046137439,1
520,30,2962,1430.63,0.0046137439,1
528,30,2962,1498.31,0.0046137439,1
536,30,2962,1719.58,0.0046137439,1
544,30,2962,1875.72,0.0046137439,1
552,30,2962,1556.82,0.0046137439,1
560,30,2962,1698.82,0.0046137439,1
568,30,2962,1506.1,0.0046137439,1
576,30,2962,1809.74,0.0046137439,1
584,30,2962,1771.76,0.0046137439,1
592,30,2962,1433.71,0.0046137439,1
600,30,2962,1835.27,0.0046137439,1
608,30,2962,1705.08,0.0046137439,1
616,30,2962,1671.95,0.0046137439,1
624,30,2962,1603.85,0.0046137439,1
632,30,2962,1621.64,0.0046137439,1
640,30,2962,1950.41,0.0046137439,1
648,30,2962,1730.71,0.0046137439,1
656,30,2962,1686.52,0.0046137439,1
664,30,2962,2147.96,0.0046137439,1
672,30,2962,1827.47,0.0046137439,1
680,30,2962,1749.73,0.0046137439,1
688,30,2962,2018.48,0.0046137439,1
696,30,2962,1852,0.0046137439,1
704,30,2962,1708.7,0.0046137439,1
712,30,2962,1774.58,0.0046137439,1
720,30,2962,2072.73,0.0046137439,1
728,30,2962,1776.89,0.0046137439,1
736,30,2962,1794.99,0.0046137439,1
744,30,2962,1727.24,0.0046137439,1
752,30,2962,1806.51,0.0046137439,1
760,30,2962,1665.76,0.0046137439,1
768,30,2962,1909.82,0.0046137439,1
776,30,2962,2114.39,0.0046137439,1
784,30,2962,1809.08,0.0046137439,1
792,30,2962,1926.13,0.0046137439,1
800,30,2962,1858.53,0.0046137439,1
808,30,2962,1905.26,0.0046137439,1
816,30,2962,1820.17,0.0046137439,1
824,30,2962,1868.82,0.0046137439,1
832,30,2962,2309.99,0.0046137439,1
840,30,2962,1966.62,0.0046137439,1
848,30,2962,1924.09,0.0046137439,1
856,30,2962,1927.73,0.0046137439,1
864,30,2962,1893.39,0.0046137439,1
872,30,2962,1982.57,0.0046137439,1
880,30,2962,2000.1,0.0046137439,1
888,30,2962,1964.07,0.0046137439,1
896,30,2962,2310.14,0.0046137439,1
904,30,2962,1971.02,0.0046137439,1
912,30,2962,2030.25,0.0046137439,1
920,30,2962,2356.08,0.0046137439,1
928,30,2962,2007.38,0.0046137439,1
936,30,2962,2068.79,0.0046137439,1
944,30,2962,2020.44,0.0046137439,1
952,30,2962,2045.29,0.0046137439,1
960,30,2962,2081.49,0.0046137439,1
968,30,2962,2128,0.0046137439,1
976,30,2962,2050.51,0.0046137439,1
984,30,2962,2041.11,0.0046137439,1
992,30,2962,2085.2,0.0046137439,1
1000,30,2962,2257.12,0.0046137439,1
1008,30,2962,2477.55,0.0046137439,1
1016,30,2962,2099.56,0.0046137439,1
1024,30,2962,2553.72,0.0046137439,1
1032,30,2962,2143.55,0.0046137439,1
1040,30,2962,2127.45,0.0046137439,1
1048,30,2962,2168.27,0.0046137439,1
1056,30,2962,2174.94,0.0046137439,1
1064,30,2962,2178.32,0.0046137439,1
1072,30,2962,2170.61,0.0046137439,1
1080,30,2962,2068.28,0.0046137439,1
1088,30,2962,2085.82,0.0046137439,1
1096,30,2962,2251.96,0.0046137439,1
1104,30,2962,2145.47,0.0046137439,1
1112,30,2962,2406.43,0.0046137439,1
1120,30,2962,2249.59,0.0046137439,1
1128,30,2962,2291.47,0.0046137439,1
1136,30,2962,2292.19,0.0046137439,1
1144,30,2962,2270.89,0.0046137439,1
1152,30,2962,2292.42,0.0046137439,1
1160,30,2962,2431.71,0.0046137439,1
1168,30,2962,2330.56,0.0046137439,1
1176,30,2962,2372.07,0.0046137439,1
1184,30,2962,2401.49,0.0046137439,1
1192,30,2962,2695.22,0.0046137439,1
1200,30,2962,2492.38,0.0046137439,1
1208,30,2962,2360.72,0.0046137439,1
1216,30,2962,2355.46,0.0046137439,1
1224,30,2962,2380.09,0.0046137439,1
