Ncache,Chunck,NN,Time,Error,Prob
100,0,2962,2042.45,0.0022181971,1

200,0,2962,1825.73,0.0022181971,1

300,0,2962,1901.1,0.0022181971,1

400,0,2962,1792.04,0.0022181971,1

500,0,2962,2014.92,0.0022181971,1

600,0,2962,1791.06,0.0022181971,1

700,0,2962,1835.11,0.0022181971,1

800,0,2962,1857.9,0.0022181971,1

900,0,2962,1729.78,0.0022181971,1

1000,0,2962,1774.41,0.0022181971,1

1100,0,2962,1668.37,0.0022181971,1

1200,0,2962,1782.75,0.0022181971,1

1300,0,2962,1610.67,0.0022181971,1

1400,0,2962,1764.5,0.0022181971,1

1500,0,2962,1617.96,0.0022181971,1

1600,0,2962,1765.22,0.0022181971,1

1700,0,2962,1632.88,0.0022181971,1

1800,0,2962,1734.8,0.0022181971,1

1900,0,2962,1637.28,0.0022181971,1

2000,0,2962,1742.56,0.0022181971,1

2100,0,2962,1613.59,0.0022181971,1

2200,0,2962,1751.27,0.0022181971,1

2300,0,2962,1605.5,0.0022181971,1

2400,0,2962,1737.88,0.0022181971,1

2500,0,2962,1616.85,0.0022181971,1

2600,0,2962,1697.94,0.0022181971,1

2700,0,2962,1602.12,0.0022181971,1

2800,0,2962,1617.32,0.0022181971,1

2900,0,2962,1731.9,0.0022181971,1

3000,0,2962,1616.76,0.0022181971,1

3100,0,2962,1725.14,0.0022181971,1

3200,0,2962,1589.35,0.0022181971,1

3300,0,2962,1728.5,0.0022181971,1

3400,0,2962,1605.53,0.0022181971,1

3500,0,2962,1732.81,0.0022181971,1

3600,0,2962,1596.98,0.0022181971,1

3700,0,2962,1722.58,0.0022181971,1

3800,0,2962,1601.54,0.0022181971,1

3900,0,2962,1735.37,0.0022181971,1

4000,0,2962,1602.39,0.0022181971,1

4100,0,2962,1732.98,0.0022181971,1

4200,0,2962,1613.72,0.0022181971,1

4300,0,2962,1733.35,0.0022181971,1

4400,0,2962,1614.43,0.0022181971,1

4500,0,2962,1731.55,0.0022181971,1

4600,0,2962,1616.83,0.0022181971,1

4700,0,2962,1747.76,0.0022181971,1

4800,0,2962,1599.78,0.0022181971,1

4900,0,2962,1750.05,0.0022181971,1

5000,0,2962,1610.84,0.0022181971,1

5100,0,2962,1734.76,0.0022181971,1

5200,0,2962,1619.26,0.0022181971,1

5300,0,2962,1734.33,0.0022181971,1

5400,0,2962,1614.66,0.0022181971,1

5500,0,2962,1750.25,0.0022181971,1

5600,0,2962,1619.26,0.0022181971,1

5700,0,2962,1641.98,0.0022181971,1

5800,0,2962,1735.59,0.0022181971,1

5900,0,2962,1627.62,0.0022181971,1

6000,0,2962,1754.13,0.0022181971,1

6100,0,2962,1645.26,0.0022181971,1

6200,0,2962,1759.82,0.0022181971,1

6300,0,2962,1618.43,0.0022181971,1

6400,0,2962,1749.54,0.0022181971,1

6500,0,2962,1627.1,0.0022181971,1

6600,0,2962,1762.57,0.0022181971,1

6700,0,2962,1628.76,0.0022181971,1

6800,0,2962,1746.76,0.0022181971,1

6900,0,2962,1624.35,0.0022181971,1

7000,0,2962,1774.63,0.0022181971,1

7100,0,2962,1630.83,0.0022181971,1

7200,0,2962,1765.52,0.0022181971,1

7300,0,2962,1627.81,0.0022181971,1

7400,0,2962,1723.77,0.0022181971,1

7500,0,2962,1669.58,0.0022181971,1

7600,0,2962,1651.28,0.0022181971,1

7700,0,2962,1904.62,0.0022181971,1

7800,0,2962,1661.69,0.0022181971,1

7900,0,2962,1758.22,0.0022181971,1

8000,0,2962,1651.39,0.0022181971,1

8100,0,2962,1786.7,0.0022181971,1

8200,0,2962,1635.4,0.0022181971,1

8300,0,2962,1781.87,0.0022181971,1

8400,0,2962,1636.28,0.0022181971,1

8500,0,2962,1781.61,0.0022181971,1

8600,0,2962,1640.25,0.0022181971,1

8700,0,2962,1782.7,0.0022181971,1

8800,0,2962,1645.82,0.0022181971,1

8900,0,2962,1779.15,0.0022181971,1

9000,0,2962,1646.1,0.0022181971,1

9100,0,2962,1770.55,0.0022181971,1

9200,0,2962,1647.02,0.0022181971,1

9300,0,2962,1782.47,0.0022181971,1

9400,0,2962,1657.53,0.0022181971,1

9500,0,2962,1772.62,0.0022181971,1

9600,0,2962,1652.48,0.0022181971,1

9700,0,2962,1746.65,0.0022181971,1

9800,0,2962,1716.57,0.0022181971,1

9900,0,2962,1668.68,0.0022181971,1

10000,0,2962,1774.24,0.0022181971,1

10100,0,2962,1670.5,0.0022181971,1

10200,0,2962,1772.42,0.0022181971,1

10300,0,2962,1676.34,0.0022181971,1

10400,0,2962,1768.94,0.0022181971,1

10500,0,2962,1666.47,0.0022181971,1

10600,0,2962,1791.66,0.0022181971,1

10700,0,2962,1658.64,0.0022181971,1

10800,0,2962,1794.71,0.0022181971,1

10900,0,2962,1657.05,0.0022181971,1

11000,0,2962,1802.55,0.0022181971,1

11100,0,2962,1666.99,0.0022181971,1

11200,0,2962,1802.01,0.0022181971,1

11300,0,2962,1668.39,0.0022181971,1

11400,0,2962,1791.8,0.0022181971,1

11500,0,2962,1670.05,0.0022181971,1

11600,0,2962,1772.71,0.0022181971,1

11700,0,2962,1744.43,0.0022181971,1

11800,0,2962,1687.44,0.0022181971,1

11900,0,2962,1785.97,0.0022181971,1

12000,0,2962,1673.69,0.0022181971,1

12100,0,2962,1811.16,0.0022181971,1

12200,0,2962,1684.91,0.0022181971,1

12300,0,2962,1813.6,0.0022181971,1

12400,0,2962,1681.6,0.0022181971,1

12500,0,2962,1814.27,0.0022181971,1

12600,0,2962,1679.15,0.0022181971,1

12700,0,2962,1813.24,0.0022181971,1

12800,0,2962,1689.63,0.0022181971,1

12900,0,2962,1785.25,0.0022181971,1

13000,0,2962,1743.57,0.0022181971,1

13100,0,2962,1704.55,0.0022181971,1

13200,0,2962,1812.52,0.0022181971,1

13300,0,2962,1682.61,0.0022181971,1

13400,0,2962,1819,0.0022181971,1

13500,0,2962,1685.98,0.0022181971,1

13600,0,2962,1835.21,0.0022181971,1

13700,0,2962,1701.29,0.0022181971,1

13800,0,2962,1811.56,0.0022181971,1

13900,0,2962,1809.94,0.0022181971,1

14000,0,2962,1708.23,0.0022181971,1

14100,0,2962,1815.38,0.0022181971,1

14200,0,2962,1698.41,0.0022181971,1

14300,0,2962,1830.23,0.0022181971,1

14400,0,2962,1697.27,0.0022181971,1

14500,0,2962,1833.22,0.0022181971,1

14600,0,2962,1699.73,0.0022181971,1

14700,0,2962,1833.13,0.0022181971,1

14800,0,2962,1775.46,0.0022181971,1

14900,0,2962,1727.41,0.0022181971,1

15000,0,2962,1814.02,0.0022181971,1

15100,0,2962,1711.67,0.0022181971,1

15200,0,2962,1825.47,0.0022181971,1

15300,0,2962,1701.55,0.0022181971,1

15400,0,2962,1836.3,0.0022181971,1

15500,0,2962,1705.64,0.0022181971,1

