Ncache,Chunck,NN,Time,Error,Prob
100,0,2962,2540.62,0.0022181983,1

200,0,2962,1527.72,0.0022181983,1

300,0,2962,1448.87,0.0022181983,1

400,0,2962,1268.43,0.0022181983,1

500,0,2962,1216.31,0.0022181983,1

600,0,2962,1119.93,0.0022181983,1

700,0,2962,1018.47,0.0022181983,1

800,0,2962,1065.68,0.0022181983,1

900,0,2962,1031.67,0.0022181983,1

1000,0,2962,1059.23,0.0022181983,1

1100,0,2962,1077,0.0022181983,1

1200,0,2962,1086.8,0.0022181983,1

1300,0,2962,1090.09,0.0022181983,1

1400,0,2962,1040.8,0.0022181983,1

1500,0,2962,1117.22,0.0022181983,1

1600,0,2962,1115.41,0.0022181983,1

1700,0,2962,1129.11,0.0022181983,1

1800,0,2962,1070.9,0.0022181983,1

1900,0,2962,1109.7,0.0022181983,1

2000,0,2962,1119.24,0.0022181983,1

2100,0,2962,1055.62,0.0022181983,1

2200,0,2962,1051,0.0022181983,1

2300,0,2962,1026.5,0.0022181983,1

2400,0,2962,1043.05,0.0022181983,1

2500,0,2962,1022.82,0.0022181983,1

2600,0,2962,1059.71,0.0022181983,1

2700,0,2962,1004.86,0.0022181983,1

2800,0,2962,998.513,0.0022181983,1

2900,0,2962,1050.16,0.0022181983,1

3000,0,2962,1087.24,0.0022181983,1

3100,0,2962,1002.36,0.0022181983,1

3200,0,2962,1084.22,0.0022181983,1

3300,0,2962,981.32,0.0022181983,1

3400,0,2962,993.51,0.0022181983,1

3500,0,2962,1009.37,0.0022181983,1

3600,0,2962,1009.74,0.0022181983,1

3700,0,2962,962.033,0.0022181983,1

3800,0,2962,1000.58,0.0022181983,1

3900,0,2962,967.27,0.0022181983,1

4000,0,2962,971.706,0.0022181983,1

4100,0,2962,957.918,0.0022181983,1

4200,0,2962,976.219,0.0022181983,1

4300,0,2962,961.088,0.0022181983,1

4400,0,2962,992.379,0.0022181983,1

4500,0,2962,1019.29,0.0022181983,1

4600,0,2962,1024.23,0.0022181983,1

4700,0,2962,989.537,0.0022181983,1

4800,0,2962,962.7,0.0022181983,1

4900,0,2962,994.908,0.0022181983,1

5000,0,2962,933.996,0.0022181983,1

5100,0,2962,969.593,0.0022181983,1

5200,0,2962,932.764,0.0022181983,1

5300,0,2962,973.158,0.0022181983,1

5400,0,2962,931.863,0.0022181983,1

5500,0,2962,933.619,0.0022181983,1

5600,0,2962,948.781,0.0022181983,1

5700,0,2962,974.956,0.0022181983,1

5800,0,2962,955.269,0.0022181983,1

5900,0,2962,897.961,0.0022181983,1

6000,0,2962,948.099,0.0022181983,1

6100,0,2962,959.666,0.0022181983,1

6200,0,2962,944.467,0.0022181983,1

6300,0,2962,1001.28,0.0022181983,1

6400,0,2962,908.854,0.0022181983,1

6500,0,2962,936.805,0.0022181983,1

6600,0,2962,926.088,0.0022181983,1

6700,0,2962,938.724,0.0022181983,1

6800,0,2962,922.714,0.0022181983,1

6900,0,2962,949.642,0.0022181983,1

7000,0,2962,964.168,0.0022181983,1

7100,0,2962,916.045,0.0022181983,1

7200,0,2962,920.515,0.0022181983,1

7300,0,2962,926.603,0.0022181983,1

7400,0,2962,948.679,0.0022181983,1

7500,0,2962,921.616,0.0022181983,1

7600,0,2962,970.728,0.0022181983,1

7700,0,2962,948.876,0.0022181983,1

7800,0,2962,930.726,0.0022181983,1

7900,0,2962,919.719,0.0022181983,1

8000,0,2962,897.569,0.0022181983,1

8100,0,2962,983.386,0.0022181983,1

8200,0,2962,938.35,0.0022181983,1

8300,0,2962,918.64,0.0022181983,1

8400,0,2962,939.166,0.0022181983,1

8500,0,2962,923.919,0.0022181983,1

8600,0,2962,958.238,0.0022181983,1

8700,0,2962,951.067,0.0022181983,1

8800,0,2962,963.78,0.0022181983,1

8900,0,2962,960.455,0.0022181983,1

9000,0,2962,904.847,0.0022181983,1

9100,0,2962,905.025,0.0022181983,1

9200,0,2962,964.496,0.0022181983,1

9300,0,2962,921.269,0.0022181983,1

9400,0,2962,925.664,0.0022181983,1

9500,0,2962,914.173,0.0022181983,1

9600,0,2962,972.683,0.0022181983,1

9700,0,2962,975.379,0.0022181983,1

9800,0,2962,932.649,0.0022181983,1

9900,0,2962,965.359,0.0022181983,1

10000,0,2962,948.582,0.0022181983,1

10100,0,2962,929.945,0.0022181983,1

10200,0,2962,916.199,0.0022181983,1

10300,0,2962,902.938,0.0022181983,1

10400,0,2962,964.245,0.0022181983,1

10500,0,2962,955.822,0.0022181983,1

10600,0,2962,956.096,0.0022181983,1

10700,0,2962,948.668,0.0022181983,1

10800,0,2962,932.262,0.0022181983,1

10900,0,2962,981.054,0.0022181983,1

11000,0,2962,981.708,0.0022181983,1

11100,0,2962,946.272,0.0022181983,1

11200,0,2962,982.989,0.0022181983,1

11300,0,2962,933.473,0.0022181983,1

11400,0,2962,942.822,0.0022181983,1

11500,0,2962,972.458,0.0022181983,1

11600,0,2962,913.049,0.0022181983,1

11700,0,2962,953.385,0.0022181983,1

11800,0,2962,944.86,0.0022181983,1

11900,0,2962,937.606,0.0022181983,1

12000,0,2962,938.979,0.0022181983,1

12100,0,2962,950.755,0.0022181983,1

12200,0,2962,944.976,0.0022181983,1

12300,0,2962,944.439,0.0022181983,1

12400,0,2962,944.705,0.0022181983,1

12500,0,2962,999.92,0.0022181983,1

12600,0,2962,929.896,0.0022181983,1

12700,0,2962,944.227,0.0022181983,1

12800,0,2962,931.239,0.0022181983,1

12900,0,2962,938.222,0.0022181983,1

13000,0,2962,941.833,0.0022181983,1

13100,0,2962,976.832,0.0022181983,1

13200,0,2962,986.147,0.0022181983,1

13300,0,2962,931.364,0.0022181983,1

13400,0,2962,944.807,0.0022181983,1

13500,0,2962,961.44,0.0022181983,1

13600,0,2962,935.206,0.0022181983,1

13700,0,2962,1023.71,0.0022181983,1

13800,0,2962,950.279,0.0022181983,1

13900,0,2962,942.614,0.0022181983,1

14000,0,2962,934.995,0.0022181983,1

14100,0,2962,963.231,0.0022181983,1

14200,0,2962,926.835,0.0022181983,1

14300,0,2962,1008.02,0.0022181983,1

14400,0,2962,986.101,0.0022181983,1

14500,0,2962,1012.86,0.0022181983,1

14600,0,2962,963.666,0.0022181983,1

14700,0,2962,942.323,0.0022181983,1

14800,0,2962,933.796,0.0022181983,1

14900,0,2962,967.231,0.0022181983,1

15000,0,2962,971.605,0.0022181983,1

15100,0,2962,988.383,0.0022181983,1

15200,0,2962,949.358,0.0022181983,1

15300,0,2962,932.509,0.0022181983,1

15400,0,2962,949.484,0.0022181983,1

15500,0,2962,980.092,0.0022181983,1

15600,0,2962,982.022,0.0022181983,1

15700,0,2962,954.406,0.0022181983,1

15800,0,2962,978.512,0.0022181983,1

15900,0,2962,941.574,0.0022181983,1

16000,0,2962,941.709,0.0022181983,1

