Nvec,Chunck,NN,Time,Error,Prob
8,0,2962,1620.33,0.0022181971,1

16,0,2962,1615.3,0.0022181971,1

24,0,2962,1600.72,0.0022181971,1

32,0,2962,1613.95,0.0022181971,1

40,0,2962,1604.5,0.0022181971,1

48,0,2962,1595.66,0.0022181971,1

56,0,2962,1610.44,0.0022181971,1

64,0,2962,1589.23,0.0022181971,1

72,0,2962,2095.56,0.0022181971,1

80,0,2962,1588.4,0.0022181971,1

88,0,2962,1601.91,0.0022181971,1

96,0,2962,1590.99,0.0022181971,1

104,0,2962,1603,0.0022181971,1

112,0,2962,1585.84,0.0022181971,1

120,0,2962,1601.59,0.0022181971,1

128,0,2962,1587.9,0.0022181971,1

136,0,2962,1586.06,0.0022181971,1

144,0,2962,1640.88,0.0022181971,1

152,0,2962,1590.51,0.0022181971,1

160,0,2962,1601.55,0.0022181971,1

168,0,2962,1590.96,0.0022181971,1

176,0,2962,1602.22,0.0022181971,1

184,0,2962,1585.92,0.0022181971,1

192,0,2962,1598.47,0.0022181971,1

200,0,2962,1586.23,0.0022181971,1

208,0,2962,1601,0.0022181971,1

216,0,2962,1585.2,0.0022181971,1

224,0,2962,1584.72,0.0022181971,1

232,0,2962,1598.15,0.0022181971,1

240,0,2962,1588.01,0.0022181971,1

248,0,2962,1596.11,0.0022181971,1

256,0,2962,1590.14,0.0022181971,1

264,0,2962,1590.77,0.0022181971,1

272,0,2962,1598.62,0.0022181971,1

280,0,2962,1584.39,0.0022181971,1

288,0,2962,1598.55,0.0022181971,1

296,0,2962,1587.01,0.0022181971,1

304,0,2962,1606.14,0.0022181971,1

312,0,2962,1588.32,0.0022181971,1

320,0,2962,1586.05,0.0022181971,1

328,0,2962,1598.04,0.0022181971,1

336,0,2962,1708.38,0.0022181971,1

344,0,2962,1605.9,0.0022181971,1

352,0,2962,1591.04,0.0022181971,1

360,0,2962,1605.7,0.0022181971,1

368,0,2962,1589.85,0.0022181971,1

376,0,2962,1595.23,0.0022181971,1

384,0,2962,1592.93,0.0022181971,1

392,0,2962,1590.3,0.0022181971,1

400,0,2962,1601.34,0.0022181971,1

408,0,2962,1591.39,0.0022181971,1

416,0,2962,1597.74,0.0022181971,1

424,0,2962,1585.91,0.0022181971,1

432,0,2962,1587.11,0.0022181971,1

440,0,2962,1596.71,0.0022181971,1

448,0,2962,1586.08,0.0022181971,1

456,0,2962,1607.38,0.0022181971,1

464,0,2962,1590.94,0.0022181971,1

472,0,2962,1599.38,0.0022181971,1

480,0,2962,1587.59,0.0022181971,1

488,0,2962,1605.39,0.0022181971,1

496,0,2962,1596.96,0.0022181971,1

504,0,2962,1598.67,0.0022181971,1

512,0,2962,1604.8,0.0022181971,1

520,0,2962,1595.98,0.0022181971,1

528,0,2962,1609.38,0.0022181971,1

536,0,2962,1587.05,0.0022181971,1

544,0,2962,1602.88,0.0022181971,1

552,0,2962,1585.63,0.0022181971,1

560,0,2962,1598.83,0.0022181971,1

568,0,2962,1586.67,0.0022181971,1

576,0,2962,1587.78,0.0022181971,1

584,0,2962,2101.76,0.0022181971,1

592,0,2962,1601.69,0.0022181971,1

600,0,2962,1593.94,0.0022181971,1

608,0,2962,1592.91,0.0022181971,1

616,0,2962,1604.74,0.0022181971,1

624,0,2962,1588.51,0.0022181971,1

