Nvec,Chunck,NN,Time,Error,Prob
8,0,2962,3002.39,0.0022181983,1

16,0,2962,1990.93,0.0022181983,1

24,0,2962,1809.61,0.0022181983,1

32,0,2962,1610.7,0.0022181983,1

40,0,2962,1542.53,0.0022181983,1

48,0,2962,1480.83,0.0022181983,1

56,0,2962,1744.08,0.0022181983,1

64,0,2962,1662.3,0.0022181983,1

72,0,2962,1427.34,0.0022181983,1

80,0,2962,1411.02,0.0022181983,1

88,0,2962,1414.77,0.0022181983,1

96,0,2962,1357.76,0.0022181983,1

104,0,2962,1390.93,0.0022181983,1

112,0,2962,1362.6,0.0022181983,1

120,0,2962,1374.47,0.0022181983,1

128,0,2962,1353.24,0.0022181983,1

136,0,2962,1395.22,0.0022181983,1

144,0,2962,1369.94,0.0022181983,1

152,0,2962,1346.25,0.0022181983,1

160,0,2962,1351.02,0.0022181983,1

168,0,2962,1376.44,0.0022181983,1

176,0,2962,1333.56,0.0022181983,1

184,0,2962,1350.21,0.0022181983,1

192,0,2962,1350.07,0.0022181983,1

200,0,2962,1360.97,0.0022181983,1

208,0,2962,1351.43,0.0022181983,1

216,0,2962,1309.73,0.0022181983,1

224,0,2962,1338.18,0.0022181983,1

232,0,2962,1621.22,0.0022181983,1

240,0,2962,1376.05,0.0022181983,1

248,0,2962,1395.5,0.0022181983,1

256,0,2962,1352.71,0.0022181983,1

264,0,2962,1354.61,0.0022181983,1

272,0,2962,1371.99,0.0022181983,1

280,0,2962,1367.55,0.0022181983,1

288,0,2962,1382.07,0.0022181983,1

296,0,2962,1392.47,0.0022181983,1

304,0,2962,1361.99,0.0022181983,1

312,0,2962,1359.18,0.0022181983,1

320,0,2962,1407.46,0.0022181983,1

328,0,2962,1357.69,0.0022181983,1

336,0,2962,1357.37,0.0022181983,1

344,0,2962,1377.39,0.0022181983,1

352,0,2962,1417.28,0.0022181983,1

360,0,2962,1378.77,0.0022181983,1

368,0,2962,1361.04,0.0022181983,1

376,0,2962,1355.18,0.0022181983,1

384,0,2962,1373.96,0.0022181983,1

392,0,2962,1428.87,0.0022181983,1

400,0,2962,1648.14,0.0022181983,1

408,0,2962,1338.55,0.0022181983,1

416,0,2962,1405.66,0.0022181983,1

424,0,2962,1316.16,0.0022181983,1

432,0,2962,1380.24,0.0022181983,1

440,0,2962,1339.44,0.0022181983,1

448,0,2962,1406.59,0.0022181983,1

456,0,2962,1390.55,0.0022181983,1

464,0,2962,1334.66,0.0022181983,1

472,0,2962,1286.88,0.0022181983,1

480,0,2962,1316.69,0.0022181983,1

488,0,2962,1350.67,0.0022181983,1

496,0,2962,1368.75,0.0022181983,1

504,0,2962,1368.32,0.0022181983,1

512,0,2962,1381.41,0.0022181983,1

520,0,2962,1388.27,0.0022181983,1

528,0,2962,1385.03,0.0022181983,1

536,0,2962,1279.57,0.0022181983,1

544,0,2962,1340.06,0.0022181983,1

552,0,2962,1294.78,0.0022181983,1

560,0,2962,1331.53,0.0022181983,1

568,0,2962,1608.57,0.0022181983,1

576,0,2962,1660.16,0.0022181983,1

584,0,2962,1290.46,0.0022181983,1

592,0,2962,1256.04,0.0022181983,1

600,0,2962,1294.16,0.0022181983,1

608,0,2962,1337.53,0.0022181983,1

616,0,2962,1303.72,0.0022181983,1

624,0,2962,1344.43,0.0022181983,1

632,0,2962,1318.87,0.0022181983,1

640,0,2962,1407.42,0.0022181983,1

648,0,2962,1406.94,0.0022181983,1

656,0,2962,1335.92,0.0022181983,1

664,0,2962,1397.88,0.0022181983,1

672,0,2962,1436.54,0.0022181983,1

680,0,2962,1335.5,0.0022181983,1

688,0,2962,1353.49,0.0022181983,1

696,0,2962,1321.36,0.0022181983,1

704,0,2962,1322.69,0.0022181983,1

712,0,2962,1297.46,0.0022181983,1

720,0,2962,1356.6,0.0022181983,1

728,0,2962,1373.23,0.0022181983,1

736,0,2962,1375.35,0.0022181983,1

744,0,2962,1682.65,0.0022181983,1

752,0,2962,1380.26,0.0022181983,1

760,0,2962,1333.84,0.0022181983,1

768,0,2962,1457.2,0.0022181983,1

776,0,2962,1332.13,0.0022181983,1

784,0,2962,1347.45,0.0022181983,1

792,0,2962,1321.61,0.0022181983,1

800,0,2962,1408.28,0.0022181983,1

808,0,2962,1404.99,0.0022181983,1

816,0,2962,1323.97,0.0022181983,1

824,0,2962,1364.86,0.0022181983,1

832,0,2962,1462.16,0.0022181983,1

840,0,2962,1348.43,0.0022181983,1

848,0,2962,1391.59,0.0022181983,1

856,0,2962,1354.67,0.0022181983,1

864,0,2962,1336.29,0.0022181983,1

872,0,2962,1385.53,0.0022181983,1

880,0,2962,1421.56,0.0022181983,1

888,0,2962,1398.62,0.0022181983,1

896,0,2962,1478.89,0.0022181983,1

904,0,2962,1373.17,0.0022181983,1

912,0,2962,1563.79,0.0022181983,1

920,0,2962,1459.2,0.0022181983,1

928,0,2962,1349.99,0.0022181983,1

936,0,2962,1357.81,0.0022181983,1

944,0,2962,1348.18,0.0022181983,1

952,0,2962,1326.73,0.0022181983,1

960,0,2962,1362.44,0.0022181983,1

968,0,2962,1463.4,0.0022181983,1

976,0,2962,1418.93,0.0022181983,1

