Ncache,Chunck,Time,Error,Prob
10100,80,344.412,0.0003939692,1

10200,80,338.017,0.0003939692,1

10300,80,346.954,0.0003939692,1

10400,80,337.202,0.0003939692,1

10500,80,339.692,0.0003939692,1

10600,80,334.04,0.0003939692,1

10700,80,333.238,0.0003939692,1

10800,80,345.173,0.0003939692,1

10900,80,355.771,0.0003939692,1

11000,80,349.337,0.0003939692,1

11100,80,349.677,0.0003939692,1

11200,80,329.182,0.0003939692,1

11300,80,357.221,0.0003939692,1

11400,80,336.875,0.0003939692,1

11500,80,346.737,0.0003939692,1

11600,80,334.173,0.0003939692,1

11700,80,350.031,0.0003939692,1

11800,80,331.045,0.0003939692,1

11900,80,338.537,0.0003939692,1

12000,80,340.63,0.0003939692,1

12100,80,347.57,0.0003939692,1

12200,80,346.578,0.0003939692,1

12300,80,344.946,0.0003939692,1

12400,80,341.038,0.0003939692,1

12500,80,336.134,0.0003939692,1

12600,80,329.178,0.0003939692,1

12700,80,324.592,0.0003939692,1

12800,80,345.377,0.0003939692,1

12900,80,341.317,0.0003939692,1

13000,80,339.042,0.0003939692,1

13100,80,340.523,0.0003939692,1

13200,80,334.744,0.0003939692,1

13300,80,346.448,0.0003939692,1

13400,80,344.258,0.0003939692,1

13500,80,346.406,0.0003939692,1

13600,80,359.284,0.0003939692,1

13700,80,330.328,0.0003939692,1

13800,80,342.302,0.0003939692,1

13900,80,341.703,0.0003939692,1

14000,80,344.48,0.0003939692,1

14100,80,343.71,0.0003939692,1

14200,80,334.61,0.0003939692,1

14300,80,339.523,0.0003939692,1

14400,80,340.036,0.0003939692,1

14500,80,341.838,0.0003939692,1

14600,80,336.497,0.0003939692,1

14700,80,332.283,0.0003939692,1

14800,80,343.868,0.0003939692,1

14900,80,330.512,0.0003939692,1

15000,80,336.781,0.0003939692,1

15100,80,332.276,0.0003939692,1

15200,80,339.728,0.0003939692,1

15300,80,345.593,0.0003939692,1

15400,80,338.376,0.0003939692,1

15500,80,334.938,0.0003939692,1

15600,80,346.258,0.0003939692,1

15700,80,346.199,0.0003939692,1

15800,80,343.924,0.0003939692,1

15900,80,348.675,0.0003939692,1

16000,80,342.22,0.0003939692,1

16100,80,348.885,0.0003939692,1

16200,80,340.94,0.0003939692,1

16300,80,345.26,0.0003939692,1

16400,80,344.395,0.0003939692,1

16500,80,353.824,0.0003939692,1

16600,80,341.737,0.0003939692,1

16700,80,329.148,0.0003939692,1

16800,80,350.38,0.0003939692,1

16900,80,341.916,0.0003939692,1

17000,80,332.276,0.0003939692,1

17100,80,346.133,0.0003939692,1

17200,80,342.775,0.0003939692,1

17300,80,343.53,0.0003939692,1

17400,80,342.379,0.0003939692,1

17500,80,350.221,0.0003939692,1

17600,80,338.761,0.0003939692,1

17700,80,344.568,0.0003939692,1

17800,80,341.531,0.0003939692,1

17900,80,333.219,0.0003939692,1

18000,80,330.849,0.0003939692,1

18100,80,340.736,0.0003939692,1

18200,80,352.61,0.0003939692,1

18300,80,335.063,0.0003939692,1

18400,80,350.081,0.0003939692,1

18500,80,352.563,0.0003939692,1

18600,80,336.251,0.0003939692,1

18700,80,341.696,0.0003939692,1

18800,80,350.594,0.0003939692,1

18900,80,347.995,0.0003939692,1

19000,80,341.396,0.0003939692,1

19100,80,342.692,0.0003939692,1

19200,80,345.818,0.0003939692,1

19300,80,328.539,0.0003939692,1

19400,80,347.336,0.0003939692,1

19500,80,334.059,0.0003939692,1

19600,80,355.748,0.0003939692,1

19700,80,347.855,0.0003939692,1

19800,80,341.031,0.0003939692,1

19900,80,344.598,0.0003939692,1

20000,80,341.517,0.0003939692,1

